year,elect_date,sou_date,sotu_type,president,birth_date,birth_state,death_state,affil_region,party,cong_sup,relative_ideology,years_active,year_num,term_num,term_type,decl_war,va_wars
1945,,1945-01-06,written,Franklin D. Roosevelt,1882-01-30,New York,Georgia,New England,Democratic,57/96,Liberal,1945,12,4,Midterm,Declared,War
1946,11/5/46,1946-01-21,written,Harry S Truman,1884-05-08,Missouri,Missouri,South,Democratic,57/96,Liberal,1945-1949,1,0,Replacement,Peace,Peace
1947,,1947-01-06,speech,Harry S Truman,1884-05-08,Missouri,Missouri,South,Democratic,45/96,Liberal,1945-1949,2,0,Midterm,Peace,Peace
1948,11/2/48,1948-01-07,speech,Harry S Truman,1884-05-08,Missouri,Missouri,South,Democratic,45/96,Liberal,1945-1949,3,0,Midterm,Peace,Peace
1949,,1949-01-05,speech,Harry S Truman,1884-05-08,Missouri,Missouri,South,Democratic,54/96,Liberal,1949-1953,4,1,Reelected,Peace,Peace
1950,11/7/50,1950-01-04,speech,Harry S Truman,1884-05-08,Missouri,Missouri,South,Democratic,54/96,Liberal,1949-1953,5,1,Midterm,Peace,Peace
1951,,1951-01-08,speech,Harry S Truman,1884-05-08,Missouri,Missouri,South,Democratic,48/96,Liberal,1949-1953,6,1,Midterm,Peace,War
1952,11/4/52,1951-01-09,speech,Harry S Truman,1884-05-08,Missouri,Missouri,South,Democratic,48/96,Liberal,1949-1953,7,1,Reelected,Peace,War
1953,,1953-02-02,written,Dwight D. Eisenhower,1890-10-14,Texas,Washington D.C.,South,Republican,48/96,Conservative,1953-1957,1,1,Midterm,Peace,War
1953,,1953-01-07,written,Harry S Truman,1884-05-08,Missouri,Missouri,South,Democratic,47/96,Liberal,1949-1953,8,1,Midterm,Peace,War
1954,11/2/54,1954-01-07,speech,Dwight D. Eisenhower,1890-10-14,Texas,Washington D.C.,South,Republican,48/96,Conservative,1953-1957,2,1,Midterm,Peace,Peace
1955,,1955-01-06,speech,Dwight D. Eisenhower,1890-10-14,Texas,Washington D.C.,South,Republican,47/96,Conservative,1953-1957,3,1,Midterm,Peace,Peace
1956,11/6/56,1956-01-05,speech,Dwight D. Eisenhower,1890-10-14,Texas,Washington D.C.,South,Republican,47/96,Conservative,1953-1957,4,1,Midterm,Peace,Peace
1956,11/6/56,1956-01-05,written,Dwight D. Eisenhower,1890-10-14,Texas,Washington D.C.,South,Republican,47/96,Conservative,1953-1957,4,1,Midterm,Peace,Peace
1957,,1957-01-10,speech,Dwight D. Eisenhower,1890-10-14,Texas,Washington D.C.,South,Republican,47/96,Conservative,1957-1961,5,2,Newly Elected,Peace,Peace
1958,11/4/58,1958-01-09,speech,Dwight D. Eisenhower,1890-10-14,Texas,Washington D.C.,South,Republican,47/96,Conservative,1957-1961,6,2,Midterm,Peace,Peace
1959,,1959-01-09,speech,Dwight D. Eisenhower,1890-10-14,Texas,Washington D.C.,South,Republican,35/100,Conservative,1957-1961,7,2,Midterm,Peace,Peace
1960,11/8/60,1960-01-07,speech,Dwight D. Eisenhower,1890-10-14,Texas,Washington D.C.,South,Republican,35/100,Conservative,1957-1961,8,2,Midterm,Peace,Peace
1961,,1961-01-30,written,John F. Kennedy,5/29/17,Massachusettes,Texas,New England,Democratic,64/100,Liberal,1961-1963,1,1,Newly Elected,Peace,Peace
1961,,1961-01-12,written,Dwight D. Eisenhower,1890-10-14,Texas,Washington D.C.,South,Republican,36/100,Conservative,1957-1961,9,2,Lame Duck ,Peace,Peace
1962,11/6/62,1962-11-30,speech,John F. Kennedy,5/29/17,Massachusettes,Texas,New England,Democratic,64/100,Liberal,1961-1963,2,1,Midterm,Peace,Peace
1963,,1963-01-14,speech,John F. Kennedy,5/29/17,Massachusettes,Texas,New England,Democratic,66/100,Liberal,1961-1963,3,1,Midterm,Peace,Peace
1964,11/3/64,1964-01-08,speech,Lyndon B. Johnson,8/27/08,Texas,Texas,South,Democratic,66/100,Liberal,1964-1965,1,0,Ascended,Peace,Peace
1965,,1965-01-04,speech,Lyndon B. Johnson,8/27/08,Texas,Texas,South,Democratic,68/100,Liberal,1965-1969,2,1,Midterm,Peace,Peace
1966,11/8/66,1966-01-12,speech,Lyndon B. Johnson,8/27/08,Texas,Texas,South,Democratic,68/100,Liberal,1965-1969,3,1,Midterm,Peace,War
1967,,1967-01-10,speech,Lyndon B. Johnson,8/27/08,Texas,Texas,South,Democratic,64/100,Liberal,1965-1969,4,1,Midterm,Peace,War
1968,11/5/68,1968-01-17,speech,Lyndon B. Johnson,8/27/08,Texas,Texas,South,Democratic,64/100,Liberal,1965-1969,5,1,Midterm,Peace,War
1969,,1969-01-14,written,Lyndon B. Johnson,8/27/08,Texas,Texas,South,Democratic,57/100,Liberal,1965-1969,6,2,Lame Duck ,Peace,War
1970,11/3/70,1970-01-22,speech,Richard M. Nixon,1/9/13,Callifornia,New York,Pacific,Republican,43/100,Conservative,1969-1973,1,0,Newly Elected,Peace,War
1971,,1971-01-22,speech,Richard M. Nixon,1/9/13,Callifornia,New York,Pacific,Republican,44/100,Conservative,1969-1973,2,0,Midterm,Peace,War
1972,11/7/72,1972-01-20,speech,Richard M. Nixon,1/9/13,Callifornia,New York,Pacific,Republican,44/100,Conservative,1969-1973,3,0,Midterm,Peace,War
1972,11/7/72,1972-01-20,written,Richard M. Nixon,1/9/13,Callifornia,New York,Pacific,Republican,44/100,Conservative,1969-1973,3,0,Midterm,Peace,War
1974,11/5/74,1974-01-30,speech,Richard M. Nixon,1/9/13,Callifornia,New York,Pacific,Republican,42/100,Conservative,1973-1974,5,1,Midterm,Peace,War
1974,11/5/74,1974-01-30,written,Richard M. Nixon,1/9/13,Callifornia,New York,Pacific,Republican,42/100,Conservative,1973-1974,5,1,Midterm,Peace,War
1975,,1975-01-15,speech,Gerald R. Ford,7/14/13,Nebraska,California,West,Republican,37/100,Conservative,1974-1977,1,0,Midterm,Peace,War
1976,11/2/76,1976-01-19,speech,Gerald R. Ford,7/14/13,Nebraska,California,West,Republican,37/100,Conservative,1974-1977,2,0,Midterm,Peace,Peace
1977,,1977-01-12,written,Gerald R. Ford,7/14/13,Nebraska,California,West,Republican,38/100,Conservative,1974-1977,3,0,Newly Reelected,Peace,Peace
