year,elect_date,sou_date,sotu_type,president,birth_date,birth_state,death_state,affil_region,party,cong_sup,relative_ideology,years_active,year_num,term_num,term_type,decl_war,va_wars
1833,-,1833-12-03,written,Andrew Jackson,1767-03-15,Carolinas,Tennessee,West,Democratic,20/48,Conservative,1833-1837,5,2,Midterm,Peace,Peace
1834,1834-07-07,1834-12-01,written,Andrew Jackson,1767-03-15,Carolinas,Tennessee,West,Democratic,20/48,Conservative,1833-1837,6,2,Midterm,Peace,Peace
1835,-,1835-12-07,written,Andrew Jackson,1767-03-15,Carolinas,Tennessee,West,Democratic,26/52,Conservative,1833-1837,7,2,Midterm,Peace,Peace
1836,1836-11-04,1836-12-05,written,Andrew Jackson,1767-03-15,Carolinas,Tennessee,West,Democratic,26/52,Conservative,1833-1837,8,2,Lame Duck ,Peace,Peace
1837,-,1837-12-05,written,Martin Van Buren,1782-12-05,New York,New York,New England,Democratic,35/52,Conservative,1837-1841,1,1,Newly Elected,Peace,Peace
1838,1838-07-02,1838-12-03,written,Martin Van Buren,1782-12-05,New York,New York,New England,Democratic,35/52,Conservative,1837-1841,2,1,Midterm,Peace,Peace
1839,-,1839-12-02,written,Martin Van Buren,1782-12-05,New York,New York,New England,Democratic,30/52,Conservative,1837-1841,3,1,Midterm,Peace,Peace
1840,1840-10-30,1840-12-05,written,Martin Van Buren,1782-12-05,New York,New York,New England,Democratic,30/52,Conservative,1837-1841,4,1,Lame Duck ,Peace,Peace
1841,-,1841-12-07,written,John Tyler,1790-03-29,Virginia ,Virginia ,Colonial South,Whig,29/52,Liberal,1841-1845,1,1,Replacement,Peace,Peace
1842,1842-08-01,1842-12-06,written,John Tyler,1790-03-29,Virginia ,Virginia ,Colonial South,Whig,29/52,Liberal,1841-1845,2,1,Midterm,Peace,Peace
1843,-,1843-12-06,written,John Tyler,1790-03-29,Virginia ,Virginia ,Colonial South,Whig,29/52,Liberal,1841-1845,3,1,Midterm,Peace,Peace
1844,1844-11-07,1844-12-03,written,John Tyler,1790-03-29,Virginia ,Virginia ,Colonial South,Whig,29/52,Liberal,1841-1845,4,1,Lame Duck ,Peace,Peace
1845,-,1845-12-02,written,James K. Polk,1795-11-02,Virginia ,Virginia ,Colonial South,Democratic,34/58,Conservative,1845-1849,1,1,Newly Elected,Peace,Peace
1846,1846-08-02,1846-12-08,written,James K. Polk,1795-11-02,Virginia ,Virginia ,Colonial South,Democratic,34/58,Conservative,1845-1849,2,1,Midterm,Declared,War
1847,-,1847-12-07,written,James K. Polk,1795-11-02,Virginia ,Virginia ,Colonial South,Democratic,38/60,Conservative,1845-1849,3,1,Midterm,Declared,War
